dataset,dataset_label,model,metric,metric_label,higher_is_better,raw_value,performance_percentile,dataset_consensus_rank,filtered_rank,global_rank
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,AUPRC,AUPRC,True,0.5561867096182253,0.5333333333333333,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,AUPRC,AUPRC,True,0.9315737606139528,1.0,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,AUPRC,AUPRC,True,0.6279934784823774,0.6666666666666666,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,AUPRC,AUPRC,True,0.7557977266672036,0.8666666666666667,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,AUPRC,AUPRC,True,0.6727543596384036,0.7333333333333333,5.0,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,AUPRC,AUPRC,True,0.9216839112583698,0.9333333333333333,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,AUPRC,AUPRC,True,0.21240462408468547,0.2,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,AUPRC,AUPRC,True,0.4550428927737513,0.4,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,AUPRC,AUPRC,True,0.29447326228886156,0.26666666666666666,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,AUPRC,AUPRC,True,0.451104847829539,0.3333333333333333,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,AUPRC,AUPRC,True,0.6859393546644443,0.8,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,AUPRC,AUPRC,True,0.5702599612042285,0.6,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,AUPRC,AUPRC,True,0.4593685454587481,0.4666666666666667,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,AUPRC,AUPRC,True,0.036465968302779456,0.13333333333333333,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,AUPRC,AUPRC,True,0.018059938188839553,0.06666666666666667,15.0,15,18
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,AUROC,AUROC,True,0.947955022811868,0.5333333333333333,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,AUROC,AUROC,True,0.9944054853497195,1.0,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,AUROC,AUROC,True,0.9708050890091543,0.6666666666666666,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,AUROC,AUROC,True,0.976456632089864,0.8,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,AUROC,AUROC,True,0.9189167478158333,0.4,5.0,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,AUROC,AUROC,True,0.9890301817367705,0.9333333333333333,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,AUROC,AUROC,True,0.909255533229133,0.2,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,AUROC,AUROC,True,0.9343089518152994,0.4666666666666667,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,AUROC,AUROC,True,0.9584842036620733,0.6,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,AUROC,AUROC,True,0.9148335237697706,0.3333333333333333,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,AUROC,AUROC,True,0.9729509665934581,0.7333333333333333,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,AUROC,AUROC,True,0.9798535724166171,0.8666666666666667,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,AUROC,AUROC,True,0.9092814063973086,0.26666666666666666,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,AUROC,AUROC,True,0.5161803023553312,0.13333333333333333,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,AUROC,AUROC,True,0.515336341101533,0.06666666666666667,15.0,15,18
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,MCC,MCC,True,0.27654853622920544,0.5333333333333333,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,MCC,MCC,True,0.878601598965916,1.0,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,MCC,MCC,True,0.5464755313352484,0.9333333333333333,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,MCC,MCC,True,0.5317053483786506,0.8666666666666667,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,MCC,MCC,True,0.44403877622125887,0.8,5.0,5,8
